FID,region,prefecture,commune,canton,localite,nom,categorie,statut,actif,prefecture_key,commune_key,canton_key,lon,lat
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4312,Grand Lomé,Golfe,Golfe 4,Amoutivé,DOULASSAME,BIDC,Banque,Non renseigné,False,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.2244005557775837,6.136271742995631
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4311,Grand Lomé,Golfe,Golfe 4,Amoutivé,Kodjoviakopé,COFINA,Micro-Finance,Non renseigné,False,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.2099160178596031,6.121898012826782
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4310,Grand Lomé,Golfe,Golfe 1,Bè-Est,Dekon,CORIS Bank Dekon,Banque,Non renseigné,False,GOLFE,GOLFE 1,GOLFE | BE-EST,1.2356251122972515,6.133650520545244
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-430f,Grand Lomé,Golfe,Golfe 4,Amoutivé,ADAWALTO,BOA Adawalto,Banque,Non renseigné,False,GOLFE,GOLFE 4,GOLFE | AMOUTIVE,1.22426464353923,6.122767502988975
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-430e,Grand Lomé,Golfe,Golfe 3,Bè-Ouest,Attikoumé,FUCEC Togo Attikoumé,Micro-Finance,Non renseigné,False,GOLFE,GOLFE 3,GOLFE | BE-OUEST,1.2028448122307283,6.167350061998798
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-430d,Kara,Kéran,Kéran 1,Kantè,KANTE,Promo Finance Kanté,Micro-Finance,En activité,True,KERAN,KERAN 1,KERAN | KANTE,1.0474316666666665,9.947216666666668
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-430c,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,ADETICOPE,Club Entraide Sans Frontiere Microfinance( CEF-MF),Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 6,AGOE-NYIVE | ADETIKOPE,1.2177033333333331,6.324043333333334
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-430b,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,ADETICOPE,SPT Adeticope,Banque,En activité,True,AGOE-NYIVE,AGOE-NYIVE 6,AGOE-NYIVE | ADETIKOPE,1.2168721067236126,6.3177049514139645
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-430a,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,ADETICOPE,FEDES Togo,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 6,AGOE-NYIVE | ADETIKOPE,1.217698333333333,6.317366666666667
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4309,Kara,Dankpen,Dankpen 1,Guérin-Kouka,GUÉRIN KOUKA,SPT Guerin Kouka,Banque,Non renseigné,False,DANKPEN,DANKPEN 1,DANKPEN | GUERIN-KOUKA,0.608898333333334,9.685076666666665
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4308,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,LOE 2000,ASJD LEO 2000,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE | AGOE-NYIVE,1.1770465339023344,6.211399000763923
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4307,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,VAKPOSITO,Microfinance Trinité,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 3,AGOE-NYIVE | VAKPOSSITO,1.1596863227492002,6.2185105658196385
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4306,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,VAKPOSITO,DSA Bank Vakpossito,Banque,En activité,True,AGOE-NYIVE,AGOE-NYIVE 3,AGOE-NYIVE | VAKPOSSITO,1.1593217627558794,6.219090565016318
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4305,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,VAKPOSITO,Microfinance MEDAD,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 5,AGOE-NYIVE | SANGUERA,1.1525749999999995,6.218509999999998
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4304,Grand Lomé,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,VAKPOSITO,Microfinance Ardi-mec,Micro-Finance,En activité,True,AGOE-NYIVE,AGOE-NYIVE 3,AGOE-NYIVE | VAKPOSSITO,1.1607790281442616,6.2136982237047125
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4303,Grand Lomé,Golfe,Golfe 5,Aflao-Gakli,VAKPOSITO,Microfinance COCEC,Micro-Finance,Non renseigné,False,GOLFE,GOLFE 5,GOLFE | AFLAO-GAKLI,1.1580462648295022,6.210326028711114
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4302,Kara,Kéran,Kéran 1,Kantè,KANTE,SPT Kanté,Banque,En activité,True,KERAN,KERAN 1,KERAN | KANTE,1.0474900000000003,9.959381666666665
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4301,Kara,Kéran,Kéran 1,Kantè,KANTE,FUCEC Togo Kante,Micro-Finance,En activité,True,KERAN,KERAN 1,KERAN | KANTE,1.0457083333333328,9.958663333333334
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-4300,Kara,Kéran,Kéran 1,Kantè,KANTE,SUNU Bank Kanté,Banque,En activité,True,KERAN,KERAN 1,KERAN | KANTE,1.053913333333333,9.957055000000002
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42ff,Kara,Kéran,Kéran 1,Kantè,KANTE,MUFEC Kanté,Micro-Finance,En activité,True,KERAN,KERAN 1,KERAN | KANTE,1.048891666666666,9.958885
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42fe,Maritime,Zio,Zio 2,Kovié,KOVIE,FECECAV Kovie,Micro-Finance,En activité,True,ZIO,ZIO 2,ZIO | KOVIE,1.107539923832058,6.341032485208888
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42fd,Kara,Kéran,Kéran 1,Kantè,KANTE,ORABANK Kanté,Banque,En activité,True,KERAN,KERAN 1,KERAN | KANTE,1.0468766666666662,9.952220000000002
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42fc,Kara,Kéran,Kéran 1,Kantè,KANTE,UTB Kante,Banque,En activité,True,KERAN,KERAN 1,KERAN | KANTE,1.046411666666666,9.958818333333333
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42fb,Kara,Kozah,Kozah 2,Pya,LAO,UTB Pya,Banque,En activité,True,KOZAH,KOZAH 2,KOZAH | PYA,1.1466170222810699,9.6474589337942
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42fa,Kara,Kozah,Kozah 2,Pya,AKEI,SPT Pya,Banque,En activité,True,KOZAH,KOZAH 2,KOZAH | PYA,1.1443566666666667,9.65284666666667
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f9,Kara,Kozah,Kozah 1,Commune De Kara,Ewoou,BOA Ewoou,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1897493993518578,9.549259674086523
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f8,Kara,Kozah,Kozah 1,Commune De Kara,WELADE,SPT Welade,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.189634878046256,9.54998202102313
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f7,Kara,Kozah,Kozah 1,Commune De Kara,Patascom,CAVEC Lidaw,Micro-Finance,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.189143436142396,9.54471760300309
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f6,Kara,Kozah,Kozah 1,Commune De Kara,Cofake,CORIS Bank Cofake,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.196452446855992,9.54879200653476
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f5,Kara,Kozah,Kozah 1,Commune De Kara,Ewowou,BIA Togo Ewonou,Banque,Non renseigné,False,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1925355239357285,9.54734474775011
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f4,Kara,Kozah,Kozah 1,Commune De Kara,COFAC,SPT Cofac,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1948716666666663,9.548288333333334
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f3,Kara,Kozah,Kozah 1,Commune De Kara,Ewoou,ORABANK Ewoou,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.189048978348377,9.55054805998585
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f2,Kara,Kozah,Kozah 1,Commune De Kara,EWOOU,NSIA Banque Ewoou,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1902546966948893,9.54791851272773
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f1,Kara,Kozah,Kozah 1,Commune De Kara,EWOOU,ECOBANK Ewoou,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1899261329472668,9.548949901652454
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42f0,Kara,Kozah,Kozah 1,Commune De Kara,KPINGNING-BOUA,Banque Atlantique Kpingning-Boua,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1891291021417325,9.550378425580172
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42ef,Kara,Assoli,Assoli 1,Bafilo,KIAYAKOUDJO,Cef Microfinance Bafilo,Micro-Finance,En activité,True,ASSOLI,ASSOLI 1,ASSOLI | BAFILO,1.2453006548593477,9.35139418329441
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42ee,Kara,Assoli,Assoli 1,Bafilo,N'KASSAIDE,SPT Bafilo,Banque,En activité,True,ASSOLI,ASSOLI 1,ASSOLI | BAFILO,1.2426567541740527,9.35663883344696
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42ed,Kara,Assoli,Assoli 1,Bafilo,N'KASSAIDE,COOPEC Ariziki,Micro-Finance,En activité,True,ASSOLI,ASSOLI 1,ASSOLI | BAFILO,1.2419550000000001,9.35788333333333
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42ec,Kara,Kozah,Kozah 1,Commune De Kara,LAMA,COMEC Kara Camp Général Ameyi,Micro-Finance,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1779250000000006,9.570435000000002
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42eb,Kara,Kozah,Kozah 1,Commune De Kara,Kpemboa,UTB Kara,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.183997811949712,9.557224354969133
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42ea,Kara,Assoli,Assoli 1,Bafilo,N'KASSAIDE,Promofinance Bafilo,Micro-Finance,En activité,True,ASSOLI,ASSOLI 1,ASSOLI | BAFILO,1.2436866666666664,9.353026666666667
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42e9,Kara,Assoli,Assoli 1,Bafilo,N'KASSAIDE,MUCAD Bafilo,Micro-Finance,En activité,True,ASSOLI,ASSOLI 1,ASSOLI | BAFILO,1.2439943257280484,9.354090029712957
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42e8,Kara,Kozah,Kozah 1,Commune De Kara,EWAOU,ORABANK Ewaou,Banque,En activité,True,KOZAH,KOZAH 1,KOZAH | COMMUNE DE KARA,1.1864912624891424,9.549658000938427
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42e7,Kara,Kozah,Kozah 2,Pya,TENOUYO,Promofinance Ténouyo,Micro-Finance,En activité,True,KOZAH,KOZAH 2,KOZAH | PYA,1.1517513630564027,9.662645505430786
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42e6,Kara,Kozah,Kozah 2,Pya,Djamdè,SUNU Bank Pya,Banque,En activité,True,KOZAH,KOZAH 2,KOZAH | PYA,1.1563300000000003,9.667835000000002
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42e5,Kara,Dankpen,Dankpen 1,Guérin-Kouka,GUÉRIN KOUKA,Assoli,Micro-Finance,En activité,True,DANKPEN,DANKPEN 1,DANKPEN | GUERIN-KOUKA,0.6067900000000003,9.687836666666666
_mview_finance_etablissements_banque.fid-7b1c8a4a_1943cbfe119_-42e4,Kara,Assoli,Assoli 1,Bafilo,DIDAOURE,COOPEC ADESEM Bafilo,Micro-Finance,En activité,True,ASSOLI,ASSOLI 1,ASSOLI | BAFILO,1.2473149999999997,9.350101666666665
